ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,UPC,Type,Fuel Type,Vent Type,Storage Volume (gallons),Tank Height (in.),Height to Vent (in.),Tank Diameter (in.),Vent Size (in.),Vent Size 2 (in.),Max Heat Output (kBtu/hr),Input Rate  - Gas-fired (kBtu/hr),Thermal Efficiency (TE),Standby Loss (Btu/hr),Electric Input - Electric Heat Pump (kW),Coefficient of Performance (COPh),Optional Status and Messaging Features,Date Available On Market,Date Certified,Markets,CB Model Identifier
3477734,Rheem-Ruud Manufacturing,Raypak,Triton,GHE80SU-300A,,,Gas Storage,"Gas,Propane",Power Direct Vent,80,51,64,23.9,3,,,300,0.95,1105,,,,04/01/2021,05/08/2024,"United States, Canada",ES_1045829_GHE80SU-300A_02172021122235_1154167
3477735,Rheem-Ruud Manufacturing,Raypak,Triton,GHE80SS-300,,,Gas Storage,"Gas,Propane",Power Direct Vent,80,51,64,23.9,3,,,300,0.95,1105,,,,04/01/2021,05/08/2024,"United States, Canada",ES_1045829_GHE80SS-300_02172021122235_1794439
3477736,Rheem-Ruud Manufacturing,Raypak,Triton,GHE80SS-300A,,,Gas Storage,"Gas,Propane",Power Direct Vent,80,51,64,23.9,3,,,300,0.95,1105,,,,04/01/2021,05/08/2024,"United States, Canada",ES_1045829_GHE80SS-300A_02172021122235_2502127
3477737,Rheem-Ruud Manufacturing,Raypak,Triton,GHE100SU-130,,,Gas Storage,"Gas,Propane",Power Direct Vent,100,61,73,23.9,3,,,130,0.97,1050,,,,04/01/2021,05/08/2024,"United States, Canada",ES_1045829_GHE100SU-130_02172021122235_6769765
3477738,Rheem-Ruud Manufacturing,Raypak,Triton,GHE100SU-130A,,,Gas Storage,"Gas,Propane",Power Direct Vent,100,61,73,23.9,3,,,130,0.97,1050,,,,04/01/2021,05/08/2024,"United States, Canada",ES_1045829_GHE100SU-130A_02172021122235_9168789
3477739,Rheem-Ruud Manufacturing,Raypak,Triton,GHE100SS-130,,,Gas Storage,"Gas,Propane",Power Direct Vent,100,61,73,23.9,3,,,130,0.97,1050,,,,04/01/2021,05/08/2024,"United States, Canada",ES_1045829_GHE100SS-130_02172021122235_7418062
3477740,Rheem-Ruud Manufacturing,Raypak,Triton,GHE100SS-130A,,,Gas Storage,"Gas,Propane",Power Direct Vent,100,61,73,23.9,3,,,130,0.97,1050,,,,04/01/2021,05/08/2024,"United States, Canada",ES_1045829_GHE100SS-130A_02172021122235_2423298
3477741,Rheem-Ruud Manufacturing,Raypak,Triton,GHE100SU-160,,,Gas Storage,"Gas,Propane",Power Direct Vent,100,61,73,23.9,3,,,160,0.97,1080,,,,04/01/2021,05/08/2024,"United States, Canada",ES_1045829_GHE100SU-160_02172021122235_6837561
3477742,Rheem-Ruud Manufacturing,Raypak,Triton,GHE100SU-160A,,,Gas Storage,"Gas,Propane",Power Direct Vent,100,61,73,23.9,3,,,160,0.97,1080,,,,04/01/2021,05/08/2024,"United States, Canada",ES_1045829_GHE100SU-160A_02172021122235_7251181
3477743,Rheem-Ruud Manufacturing,Raypak,Triton,GHE100SS-160,,,Gas Storage,"Gas,Propane",Power Direct Vent,100,61,73,23.9,3,,,160,0.97,1080,,,,04/01/2021,05/08/2024,"United States, Canada",ES_1045829_GHE100SS-160_02172021122235_6729837
3477744,Rheem-Ruud Manufacturing,Raypak,Triton,GHE100SS-160A,,,Gas Storage,"Gas,Propane",Power Direct Vent,100,61,73,23.9,3,,,160,0.97,1080,,,,04/01/2021,05/08/2024,"United States, Canada",ES_1045829_GHE100SS-160A_02172021122235_4376775
3477745,Rheem-Ruud Manufacturing,Raypak,Triton,GHE100SU-200,,,Gas Storage,"Gas,Propane",Power Direct Vent,100,61,73,23.9,3,,,200,0.97,1100,,,,04/01/2021,05/08/2024,"United States, Canada",ES_1045829_GHE100SU-200_02172021122235_6465193
3477746,Rheem-Ruud Manufacturing,Raypak,Triton,GHE100SU-200A,,,Gas Storage,"Gas,Propane",Power Direct Vent,100,61,73,23.9,3,,,200,0.97,1100,,,,04/01/2021,05/08/2024,"United States, Canada",ES_1045829_GHE100SU-200A_02172021122235_9230300
3477747,Rheem-Ruud Manufacturing,Raypak,Triton,GHE100SS-200,,,Gas Storage,"Gas,Propane",Power Direct Vent,100,61,73,23.9,3,,,200,0.97,1100,,,,04/01/2021,05/08/2024,"United States, Canada",ES_1045829_GHE100SS-200_02172021122235_8046268
3477748,Rheem-Ruud Manufacturing,Raypak,Triton,GHE100SS-200A,,,Gas Storage,"Gas,Propane",Power Direct Vent,100,61,73,23.9,3,,,200,0.97,1100,,,,04/01/2021,05/08/2024,"United States, Canada",ES_1045829_GHE100SS-200A_02172021122235_2729752
3477749,Rheem-Ruud Manufacturing,Raypak,Triton,GHE100SU-250,,,Gas Storage,"Gas,Propane",Power Direct Vent,100,61,73,23.9,3,,,250,0.96,1155,,,,04/01/2021,05/08/2024,"United States, Canada",ES_1045829_GHE100SU-250_02172021122235_1058075
